StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2023-04-01T00:00:00Z,APXMIDP,2023-04-01,3,46.6,663.7
2023-04-01T00:30:00Z,APXMIDP,2023-04-01,4,53.74,624.0
2023-04-01T01:00:00Z,APXMIDP,2023-04-01,5,39.86,726.8
2023-04-01T01:30:00Z,APXMIDP,2023-04-01,6,40.67,623.7
2023-04-01T02:00:00Z,APXMIDP,2023-04-01,7,43.2,574.65
2023-04-01T02:30:00Z,APXMIDP,2023-04-01,8,43.87,595.5
2023-04-01T03:00:00Z,APXMIDP,2023-04-01,9,45.53,661.25
2023-04-01T03:30:00Z,APXMIDP,2023-04-01,10,41.89,752.85
2023-04-01T04:00:00Z,APXMIDP,2023-04-01,11,43.02,885.65
2023-04-01T04:30:00Z,APXMIDP,2023-04-01,12,45.29,695.0
2023-04-01T05:00:00Z,APXMIDP,2023-04-01,13,47.68,880.6
2023-04-01T05:30:00Z,APXMIDP,2023-04-01,14,84.41,987.6
2023-04-01T06:00:00Z,APXMIDP,2023-04-01,15,95.3,1037.15
2023-04-01T06:30:00Z,APXMIDP,2023-04-01,16,104.36,1078.6
2023-04-01T07:00:00Z,APXMIDP,2023-04-01,17,94.84,1447.05
2023-04-01T07:30:00Z,APXMIDP,2023-04-01,18,107.73,1633.55
2023-04-01T08:00:00Z,APXMIDP,2023-04-01,19,115.75,1538.7
2023-04-01T08:30:00Z,APXMIDP,2023-04-01,20,116.16,1485.15
2023-04-01T09:00:00Z,APXMIDP,2023-04-01,21,117.71,1302.35
2023-04-01T09:30:00Z,APXMIDP,2023-04-01,22,118.59,1467.3
2023-04-01T10:00:00Z,APXMIDP,2023-04-01,23,134.05,1523.2
2023-04-01T10:30:00Z,APXMIDP,2023-04-01,24,130.74,1797.55
2023-04-01T11:00:00Z,APXMIDP,2023-04-01,25,138.63,1661.15
2023-04-01T11:30:00Z,APXMIDP,2023-04-01,26,138.32,1915.5
2023-04-01T12:00:00Z,APXMIDP,2023-04-01,27,136.87,1751.25
2023-04-01T12:30:00Z,APXMIDP,2023-04-01,28,122.33,2116.55
2023-04-01T13:00:00Z,APXMIDP,2023-04-01,29,108.5,1880.9
2023-04-01T13:30:00Z,APXMIDP,2023-04-01,30,104.16,2109.55
2023-04-01T14:00:00Z,APXMIDP,2023-04-01,31,93.78,1431.15
2023-04-01T14:30:00Z,APXMIDP,2023-04-01,32,97.66,1343.9
2023-04-01T15:00:00Z,APXMIDP,2023-04-01,33,115.0,1301.55
2023-04-01T15:30:00Z,APXMIDP,2023-04-01,34,122.58,1203.15
2023-04-01T16:00:00Z,APXMIDP,2023-04-01,35,125.49,1485.75
2023-04-01T16:30:00Z,APXMIDP,2023-04-01,36,142.72,1503.05
2023-04-01T17:00:00Z,APXMIDP,2023-04-01,37,142.05,1584.85
2023-04-01T17:30:00Z,APXMIDP,2023-04-01,38,145.19,1656.1
2023-04-01T18:00:00Z,APXMIDP,2023-04-01,39,145.23,1382.5
2023-04-01T18:30:00Z,APXMIDP,2023-04-01,40,144.08,1311.55
2023-04-01T19:00:00Z,APXMIDP,2023-04-01,41,151.9,1073.7
2023-04-01T19:30:00Z,APXMIDP,2023-04-01,42,135.88,1025.2
2023-04-01T20:00:00Z,APXMIDP,2023-04-01,43,126.1,1031.35
2023-04-01T20:30:00Z,APXMIDP,2023-04-01,44,119.0,1004.1
2023-04-01T21:00:00Z,APXMIDP,2023-04-01,45,120.36,1127.7
2023-04-01T21:30:00Z,APXMIDP,2023-04-01,46,119.28,969.85
2023-04-01T22:00:00Z,APXMIDP,2023-04-01,47,142.83,675.35
2023-04-01T22:30:00Z,APXMIDP,2023-04-01,48,135.59,849.15
2023-04-01T23:00:00Z,APXMIDP,2023-04-02,1,133.19,841.15
2023-04-01T23:30:00Z,APXMIDP,2023-04-02,2,132.37,616.0
2023-04-02T00:00:00Z,APXMIDP,2023-04-02,3,120.86,874.2
2023-04-02T00:30:00Z,APXMIDP,2023-04-02,4,120.43,1010.7
2023-04-02T01:00:00Z,APXMIDP,2023-04-02,5,124.99,1002.65
2023-04-02T01:30:00Z,APXMIDP,2023-04-02,6,112.65,941.45
2023-04-02T02:00:00Z,APXMIDP,2023-04-02,7,105.71,944.35
2023-04-02T02:30:00Z,APXMIDP,2023-04-02,8,109.33,1039.3
2023-04-02T03:00:00Z,APXMIDP,2023-04-02,9,106.08,874.75
2023-04-02T03:30:00Z,APXMIDP,2023-04-02,10,100.72,899.8
2023-04-02T04:00:00Z,APXMIDP,2023-04-02,11,99.3,940.05
2023-04-02T04:30:00Z,APXMIDP,2023-04-02,12,104.31,896.95
2023-04-02T05:00:00Z,APXMIDP,2023-04-02,13,113.98,1135.55
2023-04-02T05:30:00Z,APXMIDP,2023-04-02,14,113.14,1041.35
