SettlementDate,SettlementPeriod,Demand
2016-01-07,1,28209
2016-01-07,2,28755
2016-01-07,3,28944
2016-01-07,4,28239
2016-01-07,5,27563
2016-01-07,6,27300
2016-01-07,7,27067
2016-01-07,8,26490
2016-01-07,9,26260
2016-01-07,10,26323
2016-01-07,11,26788
2016-01-07,12,27739
2016-01-07,13,30193
2016-01-07,14,32929
2016-01-07,15,37004
2016-01-07,16,39497
2016-01-07,17,40761
2016-01-07,18,40907
2016-01-07,19,41569
2016-01-07,20,42206
2016-01-07,21,42363
2016-01-07,22,42193
2016-01-07,23,42161
2016-01-07,24,41928
2016-01-07,25,41948
2016-01-07,26,41859
2016-01-07,27,41661
2016-01-07,28,41262
2016-01-07,29,41105
2016-01-07,30,40905
2016-01-07,31,41141
2016-01-07,32,42343
2016-01-07,33,44569
2016-01-07,34,47412
2016-01-07,35,48351
2016-01-07,36,48101
2016-01-07,37,47807
2016-01-07,38,47180
2016-01-07,39,46227
2016-01-07,40,44781
2016-01-07,41,43135
2016-01-07,42,41127
2016-01-07,43,39397
2016-01-07,44,37171
2016-01-07,45,34617
2016-01-07,46,32671
2016-01-07,47,30567
2016-01-07,48,29507
2016-01-08,1,29137
2016-01-08,2,29878
2016-01-08,3,30712
2016-01-08,4,30370
2016-01-08,5,29812
2016-01-08,6,29726
2016-01-08,7,29574
2016-01-08,8,29132
2016-01-08,9,28818
2016-01-08,10,28760
2016-01-08,11,29360
2016-01-08,12,30566
2016-01-08,13,32752
2016-01-08,14,35544
2016-01-08,15,39879
2016-01-08,16,42164
2016-01-08,17,43111
2016-01-08,18,42901
2016-01-08,19,43412
2016-01-08,20,43526
2016-01-08,21,43394
2016-01-08,22,43324
2016-01-08,23,43126
2016-01-08,24,42842
2016-01-08,25,43015
2016-01-08,26,42796
2016-01-08,27,42528
2016-01-08,28,42434
2016-01-08,29,42547
2016-01-08,30,42499
2016-01-08,31,42538
2016-01-08,32,43698
2016-01-08,33,45472
2016-01-08,34,47663
2016-01-08,35,48575
2016-01-08,36,48227
2016-01-08,37,48143
2016-01-08,38,47695
