SettlementDate,SettlementPeriod,Generation
2016-01-07,1,26728
2016-01-07,2,26750
2016-01-07,3,26308
2016-01-07,4,25509
2016-01-07,5,24852
2016-01-07,6,24643
2016-01-07,7,24384
2016-01-07,8,23774
2016-01-07,9,23567
2016-01-07,10,23672
2016-01-07,11,24191
2016-01-07,12,25513
2016-01-07,13,28883
2016-01-07,14,32435
2016-01-07,15,36379
2016-01-07,16,38612
2016-01-07,17,39811
2016-01-07,18,39886
2016-01-07,19,40523
2016-01-07,20,40926
2016-01-07,21,40980
2016-01-07,22,40902
2016-01-07,23,40891
2016-01-07,24,40652
2016-01-07,25,40681
2016-01-07,26,40539
2016-01-07,27,40321
2016-01-07,28,39881
2016-01-07,29,39683
2016-01-07,30,39448
2016-01-07,31,39634
2016-01-07,32,40890
2016-01-07,33,43062
2016-01-07,34,45751
2016-01-07,35,46616
2016-01-07,36,46378
2016-01-07,37,46083
2016-01-07,38,45467
2016-01-07,39,44613
2016-01-07,40,43260
2016-01-07,41,41794
2016-01-07,42,39946
2016-01-07,43,38247
2016-01-07,44,36006
2016-01-07,45,33578
2016-01-07,46,31714
2016-01-07,47,29716
2016-01-07,48,27424
2016-01-08,1,28415
2016-01-08,2,28861
2016-01-08,3,28666
2016-01-08,4,27933
2016-01-08,5,27623
2016-01-08,6,27562
2016-01-08,7,27427
2016-01-08,8,27018
2016-01-08,9,26661
2016-01-08,10,26686
2016-01-08,11,27433
2016-01-08,12,28627
2016-01-08,13,31801
2016-01-08,14,35300
2016-01-08,15,39662
2016-01-08,16,41916
2016-01-08,17,42729
2016-01-08,18,42315
2016-01-08,19,42707
2016-01-08,20,42698
2016-01-08,21,42442
2016-01-08,22,42355
2016-01-08,23,42108
2016-01-08,24,41725
2016-01-08,25,41669
2016-01-08,26,41384
2016-01-08,27,41104
2016-01-08,28,41143
2016-01-08,29,41328
2016-01-08,30,41282
2016-01-08,31,41418
2016-01-08,32,42636
2016-01-08,33,44504
2016-01-08,34,46524
2016-01-08,35,47161
2016-01-08,36,46897
2016-01-08,37,46864
2016-01-08,38,46432
2016-01-08,39,45334
2016-01-08,40,43910
2016-01-08,41,42393
2016-01-08,42,40541
2016-01-08,43,38842
2016-01-08,44,36873
2016-01-08,45,35096
2016-01-08,46,33593
2016-01-08,47,31696
2016-01-08,48,28721
2016-01-09,1,29889
2016-01-09,2,29806
2016-01-09,3,29217
2016-01-09,4,28232
2016-01-09,5,27577
2016-01-09,6,27193
2016-01-09,7,26520
2016-01-09,8,25890
2016-01-09,9,25422
2016-01-09,10,25160
2016-01-09,11,25055
